phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
polite_speech,state_1,first_person,0.9,22,25,0.3608719621931641,0.36133505382409814,0.0005043533727730261,0.35934276224064765,0.36146222137197803,0.0006465956252360949,0.0015291999525164357
polite_speech,state_1,third_person,0.5,12,25,0.37009591657493524,0.3778280382803257,0.01080867763904133,0.3600079274172632,0.3978562542366921,0.01032496600745462,0.04354081178357461
polite_speech,state_1,third_person,0.7,18,25,0.37009591657493524,0.3727373135702053,0.006395900768674251,0.3598801486047432,0.38350285602248924,0.0057972525979473255,0.013406939447554
polite_speech,state_1,third_person,0.9,22,25,0.37009591657493524,0.37125811584007823,0.003993600128788451,0.36175585462159515,0.3757892423252594,0.0036287488122617004,0.013337541771993311
polite_speech,state_2,second_person,0.5,12,25,0.6789542136049993,0.6790375718585816,0.0002945536324060858,0.6787445408026992,0.6800376409567701,0.0002093165074901937,0.0010834273517708048
polite_speech,state_2,second_person,0.7,18,25,0.6789542136049993,0.6789956777913018,0.00015907919764039633,0.6787697480177746,0.679371298773995,0.0001133228504031929,0.0007976141609922216
polite_speech,state_2,second_person,0.9,22,25,0.6789542136049993,0.6789552478207748,8.250889682154258e-05,0.6788720014691139,0.6791087638051557,6.285774196127436e-05,0.00034030880565905086
polite_speech,state_2,first_person,0.5,12,25,0.43849455564134565,0.4525742648194681,0.06424662494147022,0.37587712109230603,0.5289067790618064,0.0637454708430397,0.0954177575500127
polite_speech,state_2,first_person,0.7,18,25,0.43849455564134565,0.44248947919133697,0.04119229339625265,0.41045064363768446,0.5187414957909484,0.03279572664738731,0.0852593636413781
polite_speech,state_2,first_person,0.9,22,25,0.43849455564134565,0.44182989325581784,0.02751784787047655,0.427256477092004,0.5167990665658561,0.015496357437237516,0.07905195997308367
polite_speech,state_2,third_person,0.5,12,25,0.6008511872965423,0.6103317886751065,0.0668010021239797,0.5452511877974456,0.6798877139656455,0.06632375763564073,0.08429900493874887
polite_speech,state_2,third_person,0.7,18,25,0.6008511872965423,0.6104698615743377,0.0462929458725523,0.5790628625814052,0.6793712987739949,0.039193056655177146,0.07890064046944911
polite_speech,state_2,third_person,0.9,22,25,0.6008511872965423,0.6040392456095381,0.028794942814040794,0.5929172266465377,0.6791087638051556,0.016829618671764524,0.07844333511411605
polite_speech,state_3,second_person,0.5,12,25,0.16755255903252458,0.18011581077874209,0.05187071340827522,0.11945289317645594,0.26286559620762995,0.036237023287436436,0.09531303717510536
polite_speech,state_3,second_person,0.7,18,25,0.16755255903252458,0.17343087062012144,0.03208484154931081,0.14722597116890052,0.26286559620762995,0.025717061342493956,0.09531303717510536
polite_speech,state_3,second_person,0.9,22,25,0.16755255903252458,0.16725791254610675,0.014696218987738896,0.15992451399691016,0.19659150674289314,0.011910225570565253,0.02903894771036855
polite_speech,state_3,first_person,0.5,12,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_3,first_person,0.7,18,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_3,first_person,0.9,22,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_3,third_person,0.5,12,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_3,third_person,0.7,18,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_3,third_person,0.9,22,25,0.26286559620762995,0.26286559620763,5.562250771475058e-17,0.26286559620762995,0.26286559620762995,0.0,0.0
polite_speech,state_4,second_person,0.5,12,25,0.15658617091675048,0.15658617091675045,2.781125385737529e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
polite_speech,state_4,second_person,0.7,18,25,0.15658617091675048,0.15658617091675045,2.781125385737529e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
polite_speech,state_4,second_person,0.9,22,25,0.15658617091675048,0.15658617091675045,2.781125385737529e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
polite_speech,state_4,first_person,0.5,12,25,0.15658617091675048,0.15658617091675045,2.781125385737529e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
polite_speech,state_4,first_person,0.7,18,25,0.15658617091675048,0.15658617091675045,2.781125385737529e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
