model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
meta-llama/Llama-3.1-70B,polite_speech,state_3,first_person,0.9,22,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_3,third_person,0.5,12,25,0.20209288865128666,0.2156726333487362,0.04885018424347315,0.16515759857016887,0.2628655962076299,0.049259234915809344,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_3,third_person,0.7,18,25,0.20209288865128666,0.2066249464221343,0.033093274402733554,0.18717158572917006,0.2628655962076299,0.026705113913112838,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_3,third_person,0.9,22,25,0.20209288865128666,0.20507459019437949,0.022152576902454677,0.19659150674289322,0.2628655962076299,0.012576111591331016,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_4,second_person,0.5,12,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,second_person,0.7,18,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,second_person,0.9,22,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,first_person,0.5,12,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,first_person,0.7,18,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,first_person,0.9,22,25,0.15658617091675048,0.15658617091675042,5.55389276409176e-17,0.15658617091675048,0.15658617091675048,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_4,third_person,0.5,12,25,0.11573750200852792,0.12736406555027358,0.0292952594319402,0.09802483751699716,0.15658617091675048,0.029303802704293353,0.04084866890822256
meta-llama/Llama-3.1-70B,polite_speech,state_4,third_person,0.7,18,25,0.11573750200852792,0.12128521367865037,0.021697550559798714,0.10796226287529026,0.15658617091675048,0.01683735889158352,0.04084866890822256
meta-llama/Llama-3.1-70B,polite_speech,state_4,third_person,0.9,22,25,0.11573750200852792,0.11733227806541234,0.013380201488074511,0.11277602264516778,0.15658617091675048,0.006901747076025829,0.04084866890822256
meta-llama/Llama-3.1-70B,polite_speech,state_5,second_person,0.5,12,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,second_person,0.7,18,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,second_person,0.9,22,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,first_person,0.5,12,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,first_person,0.7,18,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,first_person,0.9,22,25,0.08910840174606041,0.0891084017460604,1.38847319102294e-17,0.08910840174606041,0.08910840174606041,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_5,third_person,0.5,12,25,0.06726952099040152,0.07255913058413792,0.02698903038228475,0.0322432635981396,0.12802758013281612,0.021085988123271834,0.09848909039815633
meta-llama/Llama-3.1-70B,polite_speech,state_5,third_person,0.7,18,25,0.06726952099040152,0.06925250359994177,0.015829415635511372,0.04210436283653099,0.09693976458828762,0.012707551155143243,0.04971212969294293
meta-llama/Llama-3.1-70B,polite_speech,state_5,third_person,0.9,22,25,0.06726952099040152,0.06803327375370484,0.009333757691752095,0.04899582961707359,0.08245866458358872,0.007541604467740256,0.018273691373327933
