model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,third_person,0.5,12,25,0.35934276224064765,0.35934276224064765,0.0,0.35934276224064765,0.35934276224064765,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,third_person,0.7,18,25,0.35934276224064765,0.35934276224064765,0.0,0.35934276224064765,0.35934276224064765,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,third_person,0.9,22,25,0.35934276224064765,0.35934276224064765,0.0,0.35934276224064765,0.35934276224064765,0.0,0.0
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,second_person,0.5,12,25,0.679408020307325,0.6797150202539821,0.0012287321655876991,0.6788450402829688,0.6851501922352912,0.0005446025401988753,0.005742171927966222
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,second_person,0.7,18,25,0.679408020307325,0.6795005398872208,0.0004975476745545835,0.6791266320969268,0.6804535189735144,0.0002695158830541818,0.005742171927966222
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,second_person,0.9,22,25,0.679408020307325,0.6794261299030252,0.00018736525849786715,0.6792945224106584,0.6799501740775191,0.00015249110535364886,0.0012547343065651972
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,first_person,0.5,12,25,0.509205499751796,0.5095459260945534,0.005003382227784456,0.5025609176902727,0.5187318065186425,0.004221064473704496,0.016582764141830464
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,first_person,0.7,18,25,0.509205499751796,0.5093615170503227,0.0032815414479394137,0.5039690836984501,0.5145190767933873,0.0028093740107735543,0.007875105854968978
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,first_person,0.9,22,25,0.509205499751796,0.5093941284482899,0.0018608643264503982,0.5053564705080846,0.5109936392014562,0.0017139516779446494,0.0062748878794122165
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,third_person,0.5,12,25,0.42604934475275613,0.45339149326343486,0.07963561736710764,0.3345595177189348,0.6104544706820825,0.0676387068056988,0.2533219540212388
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,third_person,0.7,18,25,0.42604934475275613,0.4330988940348352,0.04705793167271933,0.36777056082425563,0.5245474999935472,0.03703777142377271,0.25279569553021264
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,third_person,0.9,22,25,0.42604934475275613,0.4308225462249154,0.028954160385208566,0.40442994369386953,0.49165492067005273,0.025279424867664477,0.11827774419619252
